"","Customer.ID","Name","Surname","Gender","Age","Region","Job.Classification","Date.Joined","Balance"
"349",200000349,"Cameron","Duncan","Male",55,"Scotland","Blue Collar","02.May.15",60036.51
"350",200000350,"Isaac","Kelly","Male",61,"Scotland","Blue Collar","02.May.15",31920.69
"352",200000352,"Piers","Harris","Male",51,"Scotland","White Collar","03.May.15",90573.15
"353",200000353,"Gordon","Ellison","Male",58,"Scotland","Blue Collar","03.May.15",6416.8
"354",200000354,"Ian","Kerr","Male",42,"Scotland","Other","03.May.15",13414.22
"355",200000355,"Sebastian","Welch","Male",46,"Scotland","Blue Collar","03.May.15",10950.36
"356",200000356,"Richard","Hamilton","Male",42,"Scotland","Blue Collar","03.May.15",17740.51
"361",200000361,"Charles","Tucker","Male",45,"Scotland","Blue Collar","04.May.15",68256.88
"362",200000362,"Joshua","Underwood","Male",52,"Scotland","White Collar","04.May.15",107185.54
"363",200000363,"Brandon","Johnston","Male",45,"Scotland","Blue Collar","04.May.15",24064.3
"370",200000370,"Joshua","Bond","Male",62,"Scotland","Other","05.May.15",53342.1
"371",200000371,"Alan","Kelly","Male",44,"Scotland","Other","05.May.15",6288.73
"372",200000372,"Thomas","Martin","Male",54,"Scotland","Blue Collar","05.May.15",20205.92
"373",200000373,"Lucas","Gill","Male",39,"Scotland","Blue Collar","05.May.15",16549.43
"384",200000384,"Bella","Bailey","Female",42,"Scotland","Other","06.May.15",12088.72
"385",200000385,"Joe","Parsons","Male",41,"Scotland","Blue Collar","06.May.15",28710.54
"386",200000386,"Edward","Marshall","Male",51,"Scotland","Other","06.May.15",36923.01
"387",200000387,"Christian","Blake","Male",56,"Scotland","Blue Collar","06.May.15",40540.01
"388",200000388,"Gavin","Sanderson","Male",58,"Scotland","Blue Collar","06.May.15",23001.06
"389",200000389,"Leonard","Thomson","Male",38,"Scotland","Blue Collar","06.May.15",11418.92
"390",200000390,"Joseph","Henderson","Male",46,"Scotland","Blue Collar","06.May.15",16431.17
"391",200000391,"Gavin","Berry","Male",61,"Scotland","Blue Collar","06.May.15",56557.11
"406",200000406,"Ian","May","Male",39,"Scotland","Blue Collar","07.May.15",39343.24
"407",200000407,"Charles","Gibson","Male",48,"Scotland","Other","07.May.15",23703.79
"408",200000408,"Blake","Churchill","Male",55,"Scotland","Blue Collar","07.May.15",26811.22
"414",200000414,"Sebastian","Langdon","Male",45,"Scotland","Other","08.May.15",8313.86
"415",200000415,"Jake","Miller","Male",45,"Scotland","Blue Collar","08.May.15",35076.06
"416",200000416,"Gordon","Lee","Male",46,"Scotland","Blue Collar","08.May.15",64383.55
"417",200000417,"Andrew","Murray","Male",37,"Scotland","Blue Collar","08.May.15",31821.23
"424",200000424,"Keith","Ogden","Male",53,"Scotland","Blue Collar","09.May.15",67540.82
"425",200000425,"Joshua","Ince","Male",45,"Scotland","Other","09.May.15",34870.84
"426",200000426,"Andrew","Jackson","Male",55,"Scotland","Blue Collar","09.May.15",40918.44
"438",200000438,"Colin","Howard","Male",60,"Scotland","White Collar","10.May.15",1860.46
"447",200000447,"Neil","Coleman","Male",33,"Scotland","Blue Collar","11.May.15",76071.15
"448",200000448,"Evan","Hart","Male",41,"Scotland","Blue Collar","11.May.15",21536.61
"457",200000457,"Samantha","Mackay","Female",48,"Scotland","Blue Collar","12.May.15",18739.74
"458",200000458,"Lucas","Tucker","Male",59,"Scotland","Blue Collar","12.May.15",34640.4
"459",200000459,"Charles","Brown","Male",43,"Scotland","Other","12.May.15",57551.21
"460",200000460,"Olivia","Turner","Female",54,"Scotland","Other","12.May.15",18720.84
"461",200000461,"Alan","Grant","Male",52,"Scotland","White Collar","12.May.15",29971.21
"462",200000462,"Paul","Martin","Male",52,"Scotland","Other","12.May.15",6967.51
"463",200000463,"Paul","Reid","Male",46,"Scotland","Blue Collar","12.May.15",131848.63
"464",200000464,"Adam","Dyer","Male",57,"Scotland","Blue Collar","12.May.15",26601.44
"465",200000465,"Una","Lawrence","Female",42,"Scotland","Other","12.May.15",48457.47
"479",200000479,"Connor","MacLeod","Male",43,"Scotland","Other","13.May.15",41525.24
"480",200000480,"Harry","Reid","Male",45,"Scotland","Blue Collar","13.May.15",25671.22
"481",200000481,"Joan","Gray","Female",48,"Scotland","Blue Collar","13.May.15",74211.7
"482",200000482,"Justin","Graham","Male",53,"Scotland","White Collar","13.May.15",19032.02
"483",200000483,"Anthony","Gill","Male",47,"Scotland","Other","13.May.15",18970.24
"484",200000484,"Ian","Morrison","Male",39,"Scotland","Blue Collar","13.May.15",6572.36
"485",200000485,"Alan","Murray","Male",54,"Scotland","White Collar","13.May.15",72492.49
"486",200000486,"Leonard","Churchill","Male",53,"Scotland","Blue Collar","13.May.15",19641.85
"490",200000490,"Abigail","Fisher","Female",58,"Scotland","Other","14.May.15",71689.7
"491",200000491,"Piers","Jones","Male",46,"Scotland","Blue Collar","14.May.15",14557.62
"492",200000492,"Julian","Langdon","Male",50,"Scotland","Blue Collar","14.May.15",18144.44
"493",200000493,"Jacob","Forsyth","Male",49,"Scotland","Blue Collar","14.May.15",127883.17
"503",200000503,"Warren","Lyman","Male",51,"Scotland","Blue Collar","15.May.15",920.31
"504",200000504,"Jason","Lyman","Male",51,"Scotland","White Collar","15.May.15",16320.71
"505",200000505,"Brandon","Peake","Male",42,"Scotland","Blue Collar","15.May.15",35821.21
"506",200000506,"Harry","Payne","Male",53,"Scotland","Blue Collar","15.May.15",15708.72
"507",200000507,"Isaac","Gill","Male",51,"Scotland","Blue Collar","15.May.15",85973.68
"508",200000508,"Bella","Gibson","Female",47,"Scotland","Other","15.May.15",15438.53
"522",200000522,"Benjamin","Sutherland","Male",41,"Scotland","White Collar","16.May.15",33345.11
"523",200000523,"Adam","Gill","Male",50,"Scotland","Blue Collar","16.May.15",92328.66
"532",200000532,"Frank","Parr","Male",53,"Scotland","Blue Collar","17.May.15",9531.85
"533",200000533,"Abigail","Gibson","Female",56,"Scotland","Other","17.May.15",20740.75
"534",200000534,"Sebastian","Thomson","Male",62,"Scotland","Blue Collar","17.May.15",6273.93
"535",200000535,"Ryan","Marshall","Male",46,"Scotland","Blue Collar","17.May.15",399.51
"536",200000536,"Simon","Brown","Male",47,"Scotland","Blue Collar","17.May.15",18486.67
"537",200000537,"Rebecca","Simpson","Female",50,"Scotland","Other","17.May.15",12726.77
"538",200000538,"Robert","Burgess","Male",44,"Scotland","Blue Collar","17.May.15",61035.44
"548",200000548,"Emily","King","Female",63,"Scotland","Other","18.May.15",10013.03
"549",200000549,"Frank","Poole","Male",55,"Scotland","Other","18.May.15",35657.25
"579",200000579,"James","Glover","Male",47,"Scotland","Other","19.May.15",44263.92
"580",200000580,"Charles","Arnold","Male",52,"Scotland","Other","19.May.15",22436.69
"581",200000581,"Alexander","Hill","Male",46,"Scotland","Blue Collar","19.May.15",14605.89
"582",200000582,"Rebecca","Clarkson","Female",42,"Scotland","Blue Collar","19.May.15",24087.99
"583",200000583,"Joanne","Mills","Female",56,"Scotland","Other","19.May.15",46034.1
"584",200000584,"Alan","Metcalfe","Male",44,"Scotland","Blue Collar","19.May.15",60464.54
"585",200000585,"Julian","Russell","Male",58,"Scotland","Other","19.May.15",54739.91
"586",200000586,"Dylan","Piper","Male",44,"Scotland","Blue Collar","19.May.15",6498.08
"587",200000587,"Sebastian","Forsyth","Male",51,"Scotland","Blue Collar","19.May.15",43526.55
"588",200000588,"Sean","Dyer","Male",46,"Scotland","Blue Collar","19.May.15",26094.73
"589",200000589,"David","Cameron","Male",43,"Scotland","Blue Collar","19.May.15",64483.09
"590",200000590,"Stephen","Fisher","Male",53,"Scotland","Blue Collar","19.May.15",35898.96
"591",200000591,"Christian","Edmunds","Male",41,"Scotland","Blue Collar","19.May.15",52388.41
"607",200000607,"Brian","Arnold","Male",45,"Scotland","White Collar","20.May.15",10273.77
"608",200000608,"Adrian","Wright","Male",44,"Scotland","Other","20.May.15",9061.01
"609",200000609,"Leonard","Brown","Male",58,"Scotland","Other","20.May.15",86041.55
"610",200000610,"Ian","Walsh","Male",52,"Scotland","Blue Collar","20.May.15",96808.76
"619",200000619,"Alexander","Abraham","Male",49,"Scotland","Blue Collar","21.May.15",32144.44
"620",200000620,"Simon","Slater","Male",51,"Scotland","Blue Collar","21.May.15",54343.81
"621",200000621,"Andrew","Hill","Male",51,"Scotland","Blue Collar","21.May.15",60857.23
"622",200000622,"Christopher","Randall","Male",49,"Scotland","White Collar","21.May.15",68252.3
"623",200000623,"Brian","Mitchell","Male",53,"Scotland","Other","21.May.15",110688.19
"629",200000629,"Benjamin","McDonald","Male",48,"Scotland","Other","22.May.15",8114.82
"630",200000630,"Sam","Powell","Male",51,"Scotland","Blue Collar","22.May.15",126331.75
"631",200000631,"Sean","Lyman","Male",57,"Scotland","Blue Collar","22.May.15",50454.73
"632",200000632,"Nicholas","Allan","Male",64,"Scotland","Blue Collar","22.May.15",15909.96
"644",200000644,"Tim","Marshall","Male",48,"Scotland","Blue Collar","23.May.15",9997.81
"645",200000645,"Joan","Abraham","Female",47,"Scotland","Other","23.May.15",19366.89
"646",200000646,"Liam","Rutherford","Male",50,"Scotland","Blue Collar","23.May.15",70840.07
"647",200000647,"Liam","Wright","Male",50,"Scotland","Other","23.May.15",48457.18
"648",200000648,"Gavin","Martin","Male",52,"Scotland","Blue Collar","23.May.15",49590.89
"649",200000649,"Isaac","Quinn","Male",53,"Scotland","Blue Collar","23.May.15",33269.35
"658",200000658,"John","Payne","Male",45,"Scotland","Other","24.May.15",16824.6
"659",200000659,"Stewart","Poole","Male",52,"Scotland","Blue Collar","24.May.15",16849.99
"660",200000660,"Keith","Parr","Male",53,"Scotland","Blue Collar","24.May.15",66329.8
"661",200000661,"Lucas","Abraham","Male",51,"Scotland","Blue Collar","24.May.15",25861.3
"662",200000662,"Trevor","Skinner","Male",48,"Scotland","Blue Collar","24.May.15",29501.46
"663",200000663,"Leonard","Jackson","Male",52,"Scotland","Other","24.May.15",58470.37
"664",200000664,"Harry","Hodges","Male",38,"Scotland","White Collar","24.May.15",39702.17
"665",200000665,"Edward","Turner","Male",48,"Scotland","Other","24.May.15",19419.68
"669",200000669,"Jake","Rutherford","Male",52,"Scotland","Blue Collar","25.May.15",83902.83
"670",200000670,"Richard","Carr","Male",42,"Scotland","Blue Collar","25.May.15",65655.36
"671",200000671,"Carolyn","Arnold","Female",61,"Scotland","Other","25.May.15",8367.59
"672",200000672,"Audrey","Ince","Female",59,"Scotland","Other","25.May.15",24075.18
"673",200000673,"Cameron","Dyer","Male",53,"Scotland","Other","25.May.15",71478.63
"674",200000674,"William","Lyman","Male",55,"Scotland","Blue Collar","25.May.15",32611.26
"681",200000681,"Maria","Welch","Female",52,"Scotland","Other","26.May.15",17999.17
"682",200000682,"Oliver","Paterson","Male",37,"Scotland","Other","26.May.15",66522.71
"683",200000683,"Piers","Gray","Male",60,"Scotland","Blue Collar","26.May.15",13764.72
"684",200000684,"Leonard","Nash","Male",23,"Scotland","Blue Collar","26.May.15",57918.09
"696",200000696,"Benjamin","James","Male",44,"Scotland","Other","27.May.15",30742.33
"697",200000697,"Paul","Wright","Male",45,"Scotland","Other","27.May.15",74230.68
"698",200000698,"Jacob","Sharp","Male",45,"Scotland","Blue Collar","27.May.15",53086.19
"699",200000699,"Jason","Cameron","Male",60,"Scotland","Other","27.May.15",49081.5
"700",200000700,"Sam","Ball","Male",58,"Scotland","Blue Collar","27.May.15",61365.17
"701",200000701,"Joshua","Wilson","Male",48,"Scotland","Other","27.May.15",17261.5
"711",200000711,"Kylie","Skinner","Female",53,"Scotland","Other","28.May.15",82160.5
"712",200000712,"Gordon","Simpson","Male",54,"Scotland","Blue Collar","28.May.15",87050.11
"713",200000713,"Liam","Greene","Male",54,"Scotland","Blue Collar","28.May.15",55163.34
"714",200000714,"Ian","Manning","Male",45,"Scotland","Other","28.May.15",15444.28
"715",200000715,"Sebastian","Mackenzie","Male",56,"Scotland","Blue Collar","28.May.15",20747.04
"716",200000716,"Theresa","Fraser","Female",59,"Scotland","White Collar","28.May.15",44129.74
"725",200000725,"Kevin","Hudson","Male",59,"Scotland","Blue Collar","29.May.15",25916.21
"726",200000726,"Peter","Chapman","Male",43,"Scotland","Other","29.May.15",2362.16
"727",200000727,"Steven","Jackson","Male",53,"Scotland","Other","29.May.15",44740.65
"728",200000728,"John","Buckland","Male",63,"Scotland","Other","29.May.15",23026.64
"747",200000747,"Peter","Gibson","Male",47,"Scotland","Blue Collar","30.May.15",6187.55
"748",200000748,"Lucas","Graham","Male",51,"Scotland","Blue Collar","30.May.15",17188.7
"749",200000749,"Anthony","Quinn","Male",36,"Scotland","Blue Collar","30.May.15",16694.22
"750",200000750,"Anthony","Mackenzie","Male",43,"Scotland","Other","30.May.15",12188.75
"751",200000751,"Brian","Bond","Male",22,"Scotland","Blue Collar","30.May.15",837.33
"762",200000762,"Andrea","Robertson","Female",52,"Scotland","Other","31.May.15",44756.41
"763",200000763,"William","Lyman","Male",46,"Scotland","White Collar","31.May.15",46084.51
"764",200000764,"Carl","Arnold","Male",48,"Scotland","Other","31.May.15",137330.94
"765",200000765,"Paul","Baker","Male",44,"Scotland","Blue Collar","31.May.15",5784.28
"766",200000766,"Keith","Ross","Male",45,"Scotland","Blue Collar","31.May.15",85726.19
"774",200000774,"Blake","Vance","Male",34,"Scotland","Blue Collar","01.Jun.15",9347.83
"775",200000775,"Warren","Roberts","Male",37,"Scotland","Blue Collar","01.Jun.15",69.01
"784",200000784,"Dominic","Hart","Male",47,"Scotland","Blue Collar","02.Jun.15",24930.12
"785",200000785,"Joshua","Henderson","Male",53,"Scotland","White Collar","02.Jun.15",25554.52
"791",200000791,"Pippa","Walsh","Female",45,"Scotland","White Collar","03.Jun.15",56216.25
"792",200000792,"Victor","Mathis","Male",55,"Scotland","Blue Collar","03.Jun.15",8441.89
"793",200000793,"Charles","McDonald","Male",47,"Scotland","Other","03.Jun.15",17538.34
"799",200000799,"Leonard","Ogden","Male",45,"Scotland","Blue Collar","04.Jun.15",62071.23
"800",200000800,"Nathan","Vaughan","Male",39,"Scotland","Blue Collar","04.Jun.15",27582.12
"801",200000801,"Karen","MacDonald","Female",53,"Scotland","White Collar","04.Jun.15",35865.54
"802",200000802,"Eric","Slater","Male",54,"Scotland","Other","04.Jun.15",8844.87
"803",200000803,"Jason","Clark","Male",49,"Scotland","Blue Collar","04.Jun.15",56825.53
"804",200000804,"Yvonne","Burgess","Female",46,"Scotland","White Collar","04.Jun.15",34711.98
"805",200000805,"John","Cameron","Male",52,"Scotland","Other","04.Jun.15",17953.05
"810",200000810,"Felicity","Wilkins","Female",48,"Scotland","Other","05.Jun.15",58229.1
"811",200000811,"Sonia","Peters","Female",52,"Scotland","Other","05.Jun.15",45693.28
"819",200000819,"Katherine","Grant","Female",55,"Scotland","Other","06.Jun.15",9885.69
"820",200000820,"Lucas","Walsh","Male",52,"Scotland","Blue Collar","06.Jun.15",19187.18
"821",200000821,"Charles","Underwood","Male",53,"Scotland","Blue Collar","06.Jun.15",42226.31
"828",200000828,"Christopher","Langdon","Male",45,"Scotland","Other","07.Jun.15",13683.26
"833",200000833,"Benjamin","King","Male",54,"Scotland","Blue Collar","08.Jun.15",30687.34
"834",200000834,"Sebastian","Morgan","Male",42,"Scotland","Other","08.Jun.15",62472.65
"842",200000842,"Matt","Manning","Male",64,"Scotland","Blue Collar","10.Jun.15",3775.44
"843",200000843,"Adam","Gibson","Male",49,"Scotland","Blue Collar","10.Jun.15",56695.35
"844",200000844,"Sarah","Blake","Female",35,"Scotland","Other","10.Jun.15",22134.94
"855",200000855,"John","Campbell","Male",40,"Scotland","Blue Collar","12.Jun.15",10718.8
"856",200000856,"William","McLean","Male",41,"Scotland","Blue Collar","12.Jun.15",67100.09
"863",200000863,"Theresa","Quinn","Female",42,"Scotland","Other","13.Jun.15",82725.38
"864",200000864,"Harry","Hardacre","Male",58,"Scotland","Blue Collar","13.Jun.15",36743
"865",200000865,"Kimberly","Cornish","Female",43,"Scotland","Other","13.Jun.15",57420.82
"866",200000866,"James","Gibson","Male",56,"Scotland","Blue Collar","13.Jun.15",31933.56
"886",200000886,"Joe","Baker","Male",54,"Scotland","Blue Collar","15.Jun.15",55672.22
"887",200000887,"Jan","Robertson","Female",38,"Scotland","Other","15.Jun.15",18241.98
"896",200000896,"Paul","Allan","Male",59,"Scotland","Blue Collar","16.Jun.15",21784.09
"897",200000897,"Boris","Nash","Male",49,"Scotland","Blue Collar","16.Jun.15",66375.91
"903",200000903,"Jake","Peters","Male",43,"Scotland","Other","17.Jun.15",21136.88
"904",200000904,"Ryan","Gray","Male",52,"Scotland","Blue Collar","17.Jun.15",51689.74
"909",200000909,"Melanie","Hunter","Female",44,"Scotland","Other","18.Jun.15",96860.93
"910",200000910,"Owen","Henderson","Male",43,"Scotland","Blue Collar","18.Jun.15",30323.97
"911",200000911,"Julian","Hunter","Male",48,"Scotland","Other","18.Jun.15",1341.31
"912",200000912,"Brian","Bower","Male",56,"Scotland","Other","18.Jun.15",40922.28
"924",200000924,"Gabrielle","Blake","Female",60,"Scotland","Other","19.Jun.15",66713
"938",200000938,"Trevor","Harris","Male",52,"Scotland","Blue Collar","20.Jun.15",29715
"939",200000939,"Alan","Dyer","Male",42,"Scotland","Other","20.Jun.15",65530.32
"940",200000940,"Victor","Sutherland","Male",58,"Scotland","Blue Collar","20.Jun.15",27878.55
"941",200000941,"Benjamin","Manning","Male",48,"Scotland","Blue Collar","20.Jun.15",4941.65
"942",200000942,"Richard","Roberts","Male",40,"Scotland","White Collar","20.Jun.15",32790.32
"943",200000943,"Caroline","Walker","Female",47,"Scotland","Other","20.Jun.15",29481.76
"944",200000944,"Paul","Lyman","Male",47,"Scotland","Other","20.Jun.15",15090.98
"945",200000945,"Eric","Payne","Male",62,"Scotland","Blue Collar","20.Jun.15",29719.47
"946",200000946,"Matt","Gibson","Male",53,"Scotland","Blue Collar","20.Jun.15",15668.02
"947",200000947,"Katherine","Ball","Female",56,"Scotland","Other","20.Jun.15",105138.65
"948",200000948,"Zoe","Reid","Female",53,"Scotland","White Collar","20.Jun.15",45663.95
"949",200000949,"Dylan","Ellison","Male",50,"Scotland","Other","20.Jun.15",2347.34
"950",200000950,"Adrian","Dowd","Male",55,"Scotland","Blue Collar","20.Jun.15",12231.08
"961",200000961,"Una","Short","Female",49,"Scotland","Other","21.Jun.15",26688.85
"962",200000962,"Joe","Murray","Male",50,"Scotland","Blue Collar","21.Jun.15",38577.66
"963",200000963,"Ian","Coleman","Male",56,"Scotland","Other","21.Jun.15",54809.65
"964",200000964,"Andrea","MacDonald","Female",59,"Scotland","Blue Collar","21.Jun.15",29417.52
"965",200000965,"Julian","Anderson","Male",52,"Scotland","Blue Collar","21.Jun.15",30981.38
"974",200000974,"Richard","North","Male",58,"Scotland","Other","23.Jun.15",11596.34
"975",200000975,"Anthony","Mackenzie","Male",43,"Scotland","Blue Collar","23.Jun.15",74155.05
"976",200000976,"Wanda","Clark","Female",61,"Scotland","Other","23.Jun.15",75200.68
"977",200000977,"Jennifer","Blake","Female",43,"Scotland","Other","23.Jun.15",27580.15
"983",200000983,"Jessica","Rutherford","Female",37,"Scotland","Other","24.Jun.15",42322.58
"984",200000984,"Lauren","Ince","Female",57,"Scotland","Other","24.Jun.15",64620.15
"985",200000985,"Peter","MacLeod","Male",56,"Scotland","Blue Collar","24.Jun.15",48707.14
"986",200000986,"Victor","Thomson","Male",56,"Scotland","Blue Collar","24.Jun.15",27458.53
"987",200000987,"Dylan","Bond","Male",42,"Scotland","Blue Collar","24.Jun.15",7562.83
"992",200000992,"Paul","Taylor","Male",43,"Scotland","Blue Collar","25.Jun.15",68551.15
"999",200000999,"Kevin","Dickens","Male",60,"Scotland","Other","26.Jun.15",34597.56
"1019",200001019,"Lucas","Glover","Male",60,"Scotland","Blue Collar","28.Jun.15",67510.19
"1020",200001020,"Carol","Lee","Female",55,"Scotland","Other","28.Jun.15",29753.91
"1021",200001021,"Vanessa","Bond","Female",57,"Scotland","Blue Collar","28.Jun.15",55886.74
"1030",200001030,"Peter","Avery","Male",58,"Scotland","Other","29.Jun.15",41285.8
"1031",200001031,"Tracey","Ferguson","Female",48,"Scotland","Other","29.Jun.15",6104.59
"1032",200001032,"Blake","Pullman","Male",41,"Scotland","Blue Collar","29.Jun.15",64766.09
"1042",200001042,"Trevor","Campbell","Male",45,"Scotland","Blue Collar","30.Jun.15",11565.04
"1043",200001043,"Steven","Newman","Male",49,"Scotland","Blue Collar","30.Jun.15",1096.36
"1044",200001044,"Stephen","Mathis","Male",52,"Scotland","Other","30.Jun.15",4793.55
"1045",200001045,"Deirdre","James","Female",51,"Scotland","Other","30.Jun.15",11909.63
"1046",200001046,"Dylan","Alsop","Male",47,"Scotland","Blue Collar","30.Jun.15",56257.26
"1052",200001052,"Evan","Davidson","Male",48,"Scotland","Blue Collar","01.Jul.15",73268.73
"1053",200001053,"Alan","Ogden","Male",38,"Scotland","Blue Collar","01.Jul.15",26844.18
"1059",200001059,"Jan","Hamilton","Female",51,"Scotland","Blue Collar","02.Jul.15",7573.67
"1060",200001060,"Julia","Mathis","Female",46,"Scotland","Other","02.Jul.15",32324.22
"1061",200001061,"Joshua","Kerr","Male",49,"Scotland","Other","02.Jul.15",69791.57
"1062",200001062,"Dan","Alsop","Male",54,"Scotland","Other","02.Jul.15",16280.16
"1069",200001069,"Benjamin","Hemmings","Male",57,"Scotland","Blue Collar","03.Jul.15",60086.6
"1070",200001070,"John","Duncan","Male",62,"Scotland","Blue Collar","03.Jul.15",55526.53
"1071",200001071,"Sebastian","Lambert","Male",51,"Scotland","White Collar","03.Jul.15",41097.46
"1077",200001077,"Alexander","Hardacre","Male",48,"Scotland","Other","04.Jul.15",40487.71
"1078",200001078,"Isaac","Arnold","Male",47,"Scotland","Blue Collar","04.Jul.15",59432.06
"1086",200001086,"Luke","Scott","Male",47,"Scotland","Blue Collar","05.Jul.15",1948.26
